,Year,HH_LGA_ID,HH_LGA_NAME,TRAVEL_MODE,TRIPS_BY_MODE,PCT_OF_TOTAL_TRIPS,MODE_SHARE,DISTANCE_BY_MODE,PCT_OF_TOTAL_DISTANCE,TRIP_AVG_DISTANCE (km),TRIP_AVG_TIME (mins)
485,2024,7200,Sydney,vehicle driver,140000,13.1,16.5,1114000,35.5,8.0,20.8
486,2024,7200,Sydney,vehicle passenger,56000,5.3,6.7,384000,12.2,6.8,20.4
487,2024,7200,Sydney,walk linked,218000,20.5,,124000,3.9,0.6,8.1
488,2024,7200,Sydney,walk only,467000,43.8,55.1,381000,12.1,0.8,13.0
489,2024,7420,The Hills Shire,other*,5000,0.6,0.7,45000,0.6,8.8,25.7
490,2024,7420,The Hills Shire,public transport,57000,7.3,8.1,962000,13.5,16.8,26.9
491,2024,7420,The Hills Shire,vehicle driver,387000,49.4,54.4,4394000,61.7,11.4,21.7
492,2024,7420,The Hills Shire,vehicle passenger,153000,19.6,21.6,1564000,22.0,10.2,20.5
493,2024,7420,The Hills Shire,walk linked,72000,9.2,,47000,0.7,0.7,9.0
494,2024,7420,The Hills Shire,walk only,109000,13.9,15.3,105000,1.5,1.0,13.7
495,2024,8050,Waverley,other**,8000,3.1,4.0,29000,3.4,3.8,16.5
496,2024,8050,Waverley,public transport*,31000,12.4,16.3,146000,17.0,4.7,17.8
497,2024,8050,Waverley,vehicle driver,51000,20.4,26.8,328000,38.2,6.4,21.3
498,2024,8050,Waverley,vehicle passenger*,28000,11.3,14.8,243000,28.3,8.6,23.0
499,2024,8050,Waverley,walk linked*,59000,23.8,,44000,5.2,0.7,10.7
500,2024,8050,Waverley,walk only,72000,29.0,38.0,69000,8.0,1.0,16.9
501,2024,8250,Willoughby,other*,6000,1.6,1.9,32000,1.6,5.0,16.2
502,2024,8250,Willoughby,public transport,41000,10.2,12.4,310000,15.3,7.5,20.3
503,2024,8250,Willoughby,vehicle driver,135000,33.5,40.7,905000,44.8,6.7,16.1
504,2024,8250,Willoughby,vehicle passenger,80000,19.8,24.1,673000,33.4,8.4,15.4
